Listing ID,URL,Price,Количество комнат,Город,Этаж,Тип дома,Жилой комплекс,Площадь,Санузел,Высота потолков,Год постройки,Парковка
762070169,https://krisha.kz/a/show/762070169,21572620,1,Есильский р-н,NULL,кирпичный,Jetisu Satti,40.78,совмещенный,3.0,2026.0,NULL
761098328,https://krisha.kz/a/show/761098328,47104060,3,Нура р-н,NULL,монолитный,GreenLine. Garden,75.73,2 с/у и более,3.0,2026.0,NULL
761098324,https://krisha.kz/a/show/761098324,34759160,2,Нура р-н,NULL,монолитный,GreenLine. Garden,50.23,совмещенный,3.0,2026.0,NULL
760415889,https://krisha.kz/a/show/760415889,28863120,2,Есильский р-н,NULL,кирпичный,ABYROI,45.24,совмещенный,3.0,2026.0,NULL
760697974,https://krisha.kz/a/show/760697974,48840720,2,Нура р-н,NULL,кирпичный,GreenLine. Verda,74.68,раздельный,3.0,2025.0,NULL
699979988,https://krisha.kz/a/show/699979988,18051000,1,Нура р-н,NULL,кирпичный,Dariya,32.82,совмещенный,3.0,2026.0,NULL
698215350,https://krisha.kz/a/show/698215350,25148640,2,Алматы р-н,NULL,монолитный,Auez,47.63,совмещенный,3.0,2026.0,NULL
690121513,https://krisha.kz/a/show/690121513,24645300,2,Нура р-н,NULL,монолитный,RAUDA,43.62,совмещенный,3.0,2024.0,NULL
688589221,https://krisha.kz/a/show/688589221,60381335,4,Нура р-н,NULL,монолитный,Sultan Beibarys,125.47,2 с/у и более,3.0,2024.0,NULL
690475652,https://krisha.kz/a/show/690475652,46210550,3,Сарайшык р-н,NULL,монолитный,Центральный сквер,84.79,2 с/у и более,3.0,2025.0,NULL
761579271,https://krisha.kz/a/show/761579271,27500000,2,Алматы р-н,6 из 10,монолитный,ХАБАР,61.0,NULL,NULL,2021.0,NULL
762213599,https://krisha.kz/a/show/762213599,25000000,1,Алматы р-н,5 из 20,монолитный,Гранд Астана Элит,56.0,NULL,NULL,2012.0,NULL
762196852,https://krisha.kz/a/show/762196852,35500000,2,Алматы р-н,16 из 16,монолитный,Tamerlan,58.0,совмещенный,NULL,2023.0,NULL
762069032,https://krisha.kz/a/show/762069032,35588960,2,Нура р-н,NULL,монолитный,Baizaman,60.94,2 с/у и более,3.0,2026.0,NULL
698215355,https://krisha.kz/a/show/698215355,32288100,2,Алматы р-н,NULL,монолитный,Auez,63.31,совмещенный,3.0,2026.0,NULL
695736657,https://krisha.kz/a/show/695736657,24088000,2,Алматы р-н,NULL,монолитный,Sardar Family,60.22,совмещенный,3.0,2025.0,NULL
695736650,https://krisha.kz/a/show/695736650,23700000,2,Алматы р-н,NULL,монолитный,Sardar Family,59.25,совмещенный,3.0,2025.0,NULL
694707427,https://krisha.kz/a/show/694707427,45711360,3,Есильский р-н,NULL,монолитный,Capital Park. Emotions,81.92,2 с/у и более,3.0,2026.0,NULL
677730594,https://krisha.kz/a/show/677730594,54515200,3,Есильский р-н,NULL,монолитный,Gold Land,126.6,2 с/у и более,3.0,2024.0,NULL
699520781,https://krisha.kz/a/show/699520781,16108400,1,Сарайшык р-н,NULL,кирпичный,Sardar Exclusive,36.61,NULL,3.0,2025.0,NULL
690477045,https://krisha.kz/a/show/690477045,40381800,2,Есильский р-н,NULL,монолитный,Aqzam,72.76,совмещенный,3.0,2023.0,NULL
762070504,https://krisha.kz/a/show/762070504,36524460,3,Есильский р-н,NULL,кирпичный,Jetisu Satti,75.62,2 с/у и более,3.0,2026.0,NULL
699979995,https://krisha.kz/a/show/699979995,25260000,2,Нура р-н,NULL,кирпичный,Dariya,50.52,совмещенный,3.0,2026.0,NULL
